,title,content
0,六盘水市人民政府办公室关于印发《2014—2015年六盘水市节能减排低碳发展行动方案》的通知,六盘水市人民政府办公室关于印发《2014—2015年六盘水市节能减排低碳发展行动方案》的通知六盘水市人民政府办公室关于印发《2014-2015年六盘水市节能减排低碳发展行动方案》的通知（六盘水府办发〔2014〕71号）各县、特区、区人民政府，各经济开发区管委会，市人民政府各部门、各直属机构，中央、省属驻市行政企事业单位：经市人民政府同意，现将《2014-2015年六盘水市节能减排低碳发展行动方案》印发给你们，请认真贯彻执行。2014年12月24日（此件公开发布）2014-2015年六盘水市节能减排低碳发展行动方案为确保完成全市“十二五”节能减排降碳约束性目标任务，促进绿色发展、循环发展、低碳发展，加快推进生态文明建设，根据《省人民政府办公厅关于印发〈2014-2015年贵州省节能减排低碳发展行动方案〉的通知》（黔府办发〔2014〕34号），结合我市实际，制定本行动方案。一、工作目标2014年全市单位地区生产总值能耗、单位地区生产总值二氧化碳排放量、化学需氧量、氨氮、二氧化硫和氮氧化物排放总量分别比2013年下降2.49%、3.06%、0.01%、0.01%、7.87%和18.06%以上。2015年全市单位地区生产总值能耗、单位地区生产总值二氧化碳排放量、化学需氧量、氨氮、二氧化硫和氮氧化物排放总量分别比2010年下降16%、16%、9.63%、16.26%、18%和26%以上，全面完成我市“十二五”节能减排降碳约束性目标任务。二、工作措施（一）大力推进产业结构调整。1．加快发展低能耗低排放产业。大力发展服务业和战略性新兴产业，着力培育民族制药和特色食品产业，力争到2015年服务业和战略性新兴产业增加值占地区生产总值的比重分别达到37.1%和3%左右。认真落实《国务院关于加快发展节能环保产业的意见》（国发〔2013〕30号），组织实施一批节能环保和资源循环利用重大技术装备产业化工程，到2015年全市节能环保产业总产值达到5亿元。（责任单位：市发展改革委、市经济和信息化委、市财政局）2．调整优化能源结构。积极发展风电、生物质能源和可再生能源，加快煤层气利用和页岩气勘查开发，到2015年全市新能源装机容量达到45万千瓦，2014-2015年节能76万吨标准煤。努力降低煤炭消费增速，加快推进煤炭清洁高效利用，推广使用型煤、清洁优质煤及清洁能源。优化天然气使用方式，新增天然气优先用于居民生活或替代燃煤。大力发展非化石能源，到2015年非化石能源占一次能源消费量的比重提高到0.68%。（责任单位：市能源局、市发展改革委、市环境保护局、市国土资源局）3．大力淘汰落后产能。认真贯彻落实《国务院关于化解产能严重过剩矛盾的指导意见》（国发〔2013〕41号），依法依规全面清理违规在建和建成项目。在已提前完成“十二五”淘汰落后产能任务的基础上，继续加大淘汰落后产能力度，淘汰小煤矿产能500万吨。（责任单位：市经济和信息化委、市能源局、市发展改革委、市环境保护局、市国土资源局、市质监局）4．强化能评环评约束作用。严格实施项目能评和环评制度，新建高耗能、高排放项目能效水平和排污强度必须达到国内先进水平，落实主要污染物排放总量指标作为环评审批的前置条件。推动落实国家关于钢铁、有色、建材、化工等高耗能行业新增产能实行能耗等量或减量置换，以及火电、水泥等行业新增产能实行主要污染物排放量同行业减排量等量或减量置换相关政策。完善能评管理制度，规范评估机构，优化审查流程，加强能评后期监督管理。（责任单位：市发展改革委、市环境保护局、市经济和信息化委、市质监局）（二）加快建设节能减排降碳工程。1．推进实施重点工程。大力实施节能技术改造工程，加大余热余压利用、能量系统优化、电机系统节能等成熟技术推广力度，2014-2015年新增节能能力20.77万吨标准煤。加快实施节能技术装备产业化示范工程，推广应用低品位余热利用、半导体照明、稀土永磁电机等先进技术装备，大力推广合同能源管理模式，形成节能能力1.91万吨标准煤。组织实施减排重点工程，推进脱硫脱硝工程建设，2014年完成全市180万千瓦及以上燃煤机组脱硝改造，2014-2015年完成60万千瓦燃煤机组拆除烟气旁路、264平方米钢铁烧结机安装脱硫设施，到2015年底分别新增二氧化硫、氮氧化物减排能力1.85万吨和2.07万吨以上。新建日处理能力13.63万吨的城镇污水处理设施，配套建设污水收集管网320公里以上，建成20家左右规模化畜禽养殖场和养殖小区配套建设废弃物处理设施，到2015年底分别新增化学需氧量、氨氮减排能力0.689万吨和0.0982万吨。（责任单位：市发展改革委、市环境保护局、市经济和信息化委、市住房城乡建设局、市农委）2．加快更新改造燃煤锅炉。开展锅炉能源消耗和污染排放调查，制订落后锅炉淘汰计划，实施燃煤锅炉节能环保综合提升工程，到2015年底前淘汰全市10蒸吨／小时及以下燃煤锅炉，确保淘汰落后锅炉97蒸吨以上，力争淘汰落后锅炉107蒸吨；推广高效节能环保锅炉10蒸吨，完成全市10蒸吨／小时以上燃煤锅炉能效测试，全面推进燃煤锅炉除尘升级改造；对容量20蒸吨／小时及以上燃煤锅炉全面实施脱硫改造，形成11.38万吨标准煤节能能力、2550吨二氧化硫减排能力和3116吨氮氧化物减排能力。（责任单位：市质监局、市经济和信息化委、市环境保护局、市发展改革委、市能源局）3．加大机动车减排力度。2014年年底前，在全市范围内供应国四标准车用柴油，淘汰黄标车和老旧车0.34万辆。到2015年底，全省淘汰2005年前注册营运的黄标车，并有序扩大黄标车淘汰范围。加强机动车环保管理，强化新生产车辆环保监管。加快柴油车车用尿素供应体系建设。（责任单位：市公安局、市环境保护局、市商务粮食局、市质监局、市能源局）4．强化水污染防治。落实最严格水资源管理制度，编制实施水污染防治行动计划，重点保护饮用水水源地、水质较好湖泊，重点治理劣五类等污染严重水体。继续推进重点流域水污染防治，严格水功能区管理。加强地下水污染防治，加大农村、农业面源污染防治力度，严格控制污水灌溉。强化重点行业污染物排放控制。（责任单位：市环境保护局、市发展改革委、市住房城乡建设局、市水务局、市农委、市国土资源局、市质监局）（三）狠抓重点领域节能降碳。1．加强工业节能降碳。实施工业能效提升计划，在重点耗能行业全面推行能效对标，推动工业企业能源管控中心建设；开展工业绿色发展专项行动，实施低碳工业园区试点，到2015年规模以上工业企业单位增加值能耗比2010年降低25%以上。持续开展“万家企业节能低碳行动”，推动能源管理体系建立及认证工作；加强重点行业企业温室气体排放核算与培训指导，推动建立企事业单位碳排放报告制度；强化节能降碳目标责任评价考核，落实奖惩制度。2014-2015年“万家企业”新增节能量50万吨标准煤以上。（责任单位：市经济和信息化委、市发展改革委、市质监局）2．推进建筑节能降碳。深入开展绿色建筑行动，政府投资的公益性建筑、大型公共建筑及中心城区保障性住房全面执行绿色建筑标准。到2015年城镇新建建筑绿色建筑标准执行率达到20%，新增绿色建筑100万平方米。加强既有建筑节能改造，加大新型墙材及建筑节能技术的推广力度。以住宅为重点，以建筑工业化为核心，加大对建筑部品生产的扶持力度，推进建筑产业现代化。（责任单位：市住房城乡建设局、市发展改革委、市财政局、市质监局）3．强化交通运输节能降碳。加快推进综合交通运输体系建设，开展绿色循环低碳交通运输体系建设试点，深化“车船路港”千家企业低碳交通运输专项行动。开展城市绿色货运配送示范行动。积极发展现代物流业，加快物流公共信息平台建设。大力发展公共交通，推进“公交都市”创建活动。实施绿色循环低碳交通运输区域性、主题性项目，加强重点交通运输企业节能管理，加大新能源汽车推广应用力度。（责任单位：市交通运输局、市财政局、市科技局、市经济和信息化委、市商务粮食局、市发展改革委）4．抓好公共机构节能降碳。抓好公共机构能源资源计量工作，推进公共机构实施合同能源管理项目，逐步将公共机构合同能源管理服务纳入政府采购范围。开展节约型公共机构示范单位建设，按国家、省统一部署建成一批节约型公共机构。2014-2015年，全市公共机构单位建筑面积能耗、人均能耗年均降低3.2%和4%，确保完成“十二五”时期分别降低12%和15%的目标。（责任单位：市机关事务局、市质监局、市财政局）（四）强化技术支撑。1．加强技术创新。以电力、钢铁、化工、建材等行业和交通运输等领域为重点，加快节能减排共性关键技术及成套装备研发生产、引进和推广。在能耗高、节能减排潜力大的县、特区、区，实施一批能源梯级利用、污染物防治和安全处置等综合示范项目。引导企业加大节能减排技术研发投入。（责任单位：市发展改革委、市环境保护局、市经济和信息化委、市科技局）2．加快先进技术推广应用。完善节能低碳技术遴选、评定及推广机制，加强宣传和培训，以召开推广会等多种方式向社会推广一批重大节能低碳技术及装备，鼓励企业积极采用先进适用技术进行节能改造，新增节能能力0.5万吨标准煤。在钢铁烧结机脱硫、水泥脱硝和畜禽规模养殖等领域，加快推广应用成熟的污染治理技术。实施碳捕集、利用和封存示范工程。（责任单位：市发展改革委、市经济和信息化委、市环境保护局、市质监局、市农委、市科技局、市财政局）（五）进一步加强政策扶持。1．完善价格政策。落实差别电价、惩罚性电价、国家规定的高耗能行业阶梯电价和燃煤机组环保电价等政策，节能形势严峻时上调差别电价和惩罚性电价标准。完善污水垃圾处理费政策，将污泥处理成本纳入污水处理费定价成本，完善垃圾处理收费方式，提高收缴率。（责任单位：市发展改革委、市经济和信息化委、市环境保护局、市财政局、市住房城乡建设局）2．强化财税支持。加大对节能减排资金支持力度，提高使用效率，努力促进资金投入与节能减排工作任务相匹配。严格落实节能环保相关税收优惠政策。（责任单位：市财政局、市地税局、市国税局）3．推进绿色融资。引导银行业、证券期货业金融机构加快金融产品和业务创新，加大对节能减排降碳项目的支持力度。支持符合条件的企业上市、在“新三板”挂牌、发行非金融企业融资工具、企业债券等，引导证券期货经营机构为节能减排降碳项目提供融资服务，拓宽融资渠道。完善节能减排与金融监管部门及金融机构信息共享联动机制，加大节能减排信息在金融机构中共享力度，作为综合授信和融资支持的重要依据。积极引导多元投资主体和各类社会资金进入节能减排降碳领域。（责任单位：六盘水银监分局、人行六盘水市中心支行、市政府金融办、市发展改革委、市环境保护局、市经济和信息化委）（六）积极推行市场化节能减排机制。1．落实能效领跑者制度。加强能效领跑产品宣传，落实能效领跑者扶持政策，引导实施节能技术改造和生产、购买、使用高效节能产品。（责任单位：市发展改革委、市经济和信息化委、市财政局、市质监局、市机关事务局）2．落实碳排放权、节能量和排污权交易制度。推进碳排放权、排污权交易试点，按照国家、省节能量交易工作实施方案，积极推进我市节能量交易工作。（责任单位：市发展改革委、市环境保护局）3．加强节能低碳认证和能效标识管理。加强节能低碳认证和能效标识制度宣传，指导我市相关企业申请节能低碳认证和开展能效标识工作，将产品能效作为质量监管的重点，严厉打击能效虚标行为。（责任单位：市质监局、市发展改革委、市工商局）4．强化电力需求侧管理。落实电力需求侧管理办法，完善配套政策，严格目标责任考核。电网企业要确保完成年度电力电量节约指标，并对国家电力需求侧管理平台建设及城市综合试点工作给予支持和配合。电力用户要积极采用节电技术产品，优化用电方式，提高电能利用效率。2014-2015年节约电量0.24亿千瓦时，节约电力0.471万千瓦。（责任单位：市经济和信息化委、六盘水供电局）（七）加强监测预警和监督检查。1．强化统计预警。加强能源消耗、温室气体排放和污染物排放计量与统计能力建设，进一步完善节能减排降碳的计量、统计、监测、核查体系，确保相关指标数据准确一致。加强分析预警，定期发布节能目标完成情况和主要污染物排放数据公告。研究制订确保完成节能减排降碳目标的预警调控方案，根据形势适时启动。（责任单位：市发展改革委、市统计局、市环境保护局、市质监局）2．加强运行监测。加快推进重点用能单位能耗在线监测系统建设，2014年完成“万家企业”能耗在线监测系统建设，并逐步覆盖全市重点用能单位、大型公共建筑和公共机构等。进一步完善主要污染物排放在线监测系统，确保监测系统连续稳定运行。到2015年底污染源自动监控数据有效传输率达到80%，企业自行监测结果公布率达到85%，污染源监督性监测结果公布率达到95%。（责任单位：市发展改革委、市环境保护局、市经济和信息化委、市质监局、市能源局）3．强化执法监察。加强节能监察能力建设，配备监察仪器设备，加强人员配备和培训，提高监察执法业务水平，加强能源消费监管。2014-2015年，要针对“万家企业”组织开展节能专项监察。各级环保部门要持续开展专项执法，公布违法排污企业名单，发布重点企业污染物排放信息，对违法违规行为进行公开通报或挂牌督办。依法查处违法用能排污单位和相关责任人。实行节能减排执法责任制，对行政不作为、执法不严等行为，严肃追究有关主管部门和执法机构负责人责任。对未进行或未通过节能评估和审查、环境影响评价和审查的固定资产投资项目，不得开工建设或擅自投入生产、使用。（责任单位：市发展改革委、市环境保护局、市经济和信息化委、市政府金融办）三、强化责任，加强保障（一）强化地方政府责任。各县（特区、区）人民政府对本行政区域内节能减排降碳工作负总责，主要领导是第一责任人。对未完成年度目标任务的县（特区、区），由市政府领导约谈政府主要负责人，相关责任人在考核结果公布后的一年内不得评先选优和提拔重用，考核结果向社会公布。对已建成城镇污水处理设施但没有运行的地区，按照有关规定进行问责。对超额完成“十二五”目标任务的县（特区、区），按照国家和省有关规定，给予适当奖励。（责任单位：市委组织部、市监察局、市发展改革委、市环境保护局、市统计局）（二）落实重点地区责任。节能降碳目标完成进度滞后的县（特区、区），要抓紧制订具体方案，采取综合措施，确保完成节能降碳目标任务。减排工作进展缓慢地区，要进一步挖掘潜力，确保完成减排目标。年能源消费量在300万吨标准煤以上的盘县、水城县、钟山区要制订有针对性的节能措施，推动完成节能任务。（责任单位：市发展改革委、市环境保护局、市财政局）（三）明确相关部门工作责任。市各有关部门要加强对各县（特区、区）和企业的监督指导，督促本行动方案各项措施落到实处。要按照职责分工，加强协调配合，共同做好节能减排降碳工作。（责任单位：市发展改革委、市环境保护局、市经济和信息化委、市住房城乡建设局、市交通运输局、市农委、市财政局、市机关事务局、市质监局等）（四）强化企业主体责任。企业要严格遵守节能环保法律法规及标准，加强内部管理，加大资金投入，及时公开节能环保信息，确保完成目标任务。大企业要积极发挥表率作用，把节能减排任务完成情况作为企业绩效和负责人业绩考核的重要内容。国有企业要力争提前完成“十二五”节能目标。要发挥行业协会在加强企业自律、树立行业标杆、制订技术规范、推广先进典型等方面的作用。（责任单位：市发展改革委、市经济和信息化委、市环境保护局）（五）动员公众积极参与。采取形式多样的宣传教育活动，调动社会公众积极参与节能减排，加大对政府和企业落实节能减排降碳责任进行舆论监督的力度。（责任单位：市委宣传部、市文体广电新闻出版局、市发展改革委、市环境保护局）附件：1．2014-2015年六盘水市节能降碳目标（略）2．2014-2015年六盘水市减排目标（略）3．2014-2015年六盘水市能源消费增量控制目标（略）4．2014-2015年六盘水市主要大气污染物减排工程任务（略）5．2014-2015年六盘水市燃煤锅炉淘汰任务（略）6．2014年六盘水市黄标车及老旧车辆淘汰任务（略）
1,贵州省交通厅关于开展2015年全国节能宣传周和全国低碳日活动的通知,贵州省交通厅关于开展2015年全国节能宣传周和全国低碳日活动的通知贵州省交通厅关于开展2015年全国节能宣传周和全国低碳日活动的通知2015年6月13日至6月19日是全国节能宣传周，6月15日是全国低碳日，省交通运输厅、省教育厅、省科技厅等14厅局联合印发了《关于贵州省2015年全国节能宣传周和全国低碳日活动安排意见》（黔发改环资[2015]737号），请各单位结合实际开展节能降碳宣传活动，创建绿色交通。2015年7月10日前将活动总结（含电子版）报厅科教处。联系人：陈勇（18085088890）联系电话：0851-859547615954761（传真）邮箱：275746530@qq.com附件：关于贵州省2015年全国节能宣传周和全国低碳日活动安排意见的通知.PDF
2,贵州省交通运输厅关于上报交通运输部2013年“车、船、路、港”千家企业低碳交通运输专项行动节能信息报送表的通知,贵州省交通运输厅关于上报交通运输部2013年“车、船、路、港”千家企业低碳交通运输专项行动节能信息报送表的通知贵州省交通运输厅关于上报交通运输部2013年“车、船、路、港”千家企业低碳交通运输专项行动节能信息报送表的通知厅属各有关单位：根据《交通运输部办公厅关于深入推进“车、船、路、港”千家企业低碳交通运输专项行动》（厅函政法[2013]135号）的要求，2013年年报工作已经开始。请各单位安排好相关工作，于2014年1月16日前将资料报厅节能办（具体要求见附件）。数据上报邮箱：83816257@qq.com联系人：董翔联系电话：5992145贵州省交通运输厅2014年1月10日
3,贵州省交通运输厅关于做好“交通运输行业绿色循环低碳示范项目”申报的通知,贵州省交通运输厅关于做好“交通运输行业绿色循环低碳示范项目”申报的通知贵州省交通运输厅关于做好“交通运输行业绿色循环低碳示范项目”申报的通知各市（州）交通运输局、厅属各单位、威宁县交通运输局、习水县交通运输局：交通运输部决定开展“十二五”后期及“十三五”期的交通运输行业绿色循环低碳示范项目的评选活动，请按要求组织申报，有关要求如下：1、申报截止时间：2013年11月30日2、填报要求：请按交通运输部办公厅《关于开展交通运输行业绿色循环低碳示范项目评选活动的通知》（厅政法字（2013）209号）文件中的附件一的要求，填写《绿色循环低碳交通示范项目申请表》。报厅的资料包括纸质资料和电子资料，纸质资料一式三份，加盖单位公章，3、评选程序：各有关单位收到文件后，组织管辖范围内容的企业按文件要求申报，将《申请表》收齐后，进行梳理，遴选出各有关单位拟申报的项目，并向厅报送。厅收到《申请表》后，将组织专家进行评审，从中选择一部分项目向部推荐。被厅推荐到部的项目，由各企业组织编写“交通运输绿色循环低碳示范项目经验材料”，格式见部文件中的附件5。4、申报项目的要求：技术上要有一定的先进性和成熟度，有较为明显的节能减排和绿色循环效果，取得明显的经济效益，可在较大范围推广。5、部文件及相关附件材料可在交通节能网上下载，网址：http：//jtjnw.mot.gov.cn/wenjiangg/；《加快推进绿色循环低碳交通运输发展指导意见》在交通运输节能减排项目管理中心网上下载，网址：http：//jnzx.mot.gov.cn/zhencefg/。6、联系人：董翔0851-5992145qq：83816257附件：交通运输部办公厅《关于开展交通运输行业绿色循环低碳示范项目评选活动的通知》（略）贵州省交通运输厅2013年9月16日
4,贵州省交通运输厅关于贯彻落实交通运输部办公厅《关于深入推进“车、船、路、港”千家企业低碳交通运输专项行动的通知》的通知,贵州省交通运输厅关于贯彻落实交通运输部办公厅《关于深入推进“车、船、路、港”千家企业低碳交通运输专项行动的通知》的通知贵州省交通运输厅关于贯彻落实交通运输部办公厅《关于深入推进“车、船、路、港”千家企业低碳交通运输专项行动的通知》的通知各市（州）交通运输局、省道路运输局、各相关企业：交通运输部办公厅下发了《关于深入推进“车、船、路、港”千家企业低碳交通运输专项行动的通知》，对千家企业提出了进一步的要求，为了贯彻落实好文件精神，现将文件转给你们，并提出以下几点要求，请遵照执行：1、本次文件全国确定了981家企业名单，我省有20家企业，名单已公布在网上（http：//jtjnw.mot.gov.cn/），不再更改。2、纳入千家企业名单的企业，要按照文件开展能源审计，提出能源审计报告，于今年年底前报相关主管部门。3、纳入千家企业名单的企业，要按年度上报统计资料，分别为年报为1月31日前，半年报为9月30日前，请各主管部门将统计材料提前一周收集后，上报厅科教处，联系人：董翔，13595152710，ＱＱ：83816257。上报的资料分为纸质资料和电子资料，纸质资料报一份，加盖公章和负责人签字；电子资料按电子表格的模板上报。上报模板请到厅网站上下载（http：//www.qjt.gov.cn/）。4、资料上报的程序为：企业报到各市（州）主管部门（主要是运管处和客管处，或合并后的单位），各市（州）主管部门上报给各市（州）交通运输局一份，同时上报给省道路运输局，省道路运输局收集后，在截止时间前三天上报给厅科教处。5、厅将在今年年底或明年初组织对千家企业的开展情况进行检查考核，对未按要求完成的市（州）进行通报，请各市（州）主管部门高度重视，督促企业抓好专项行动的各项工作。6、请各参加企业按照部办公厅的文件要求，扎实抓好各项工作，推进节能减排改造，完成目标任务。附件：千家企业2013年半年报（略）千家企业调查表数据报送时间及方式（略）贵州省交通运输厅2013年9月9日
5,贵州省发展和改革委员会关于印发贵州省万家企业节能低碳行动实施方案的通知,贵州省发展和改革委员会关于印发贵州省万家企业节能低碳行动实施方案的通知贵州省发展和改革委员会关于印发贵州省万家企业节能低碳行动实施方案的通知各市（州）发展改革委、教育局、财政局、住房城乡建设局、交通运输局、商务局、国资监管部门、质量技术监督局、统计局、银监分局、能源行业主管部门：为贯彻落实贵州省“十二五”规划《纲要》，推动重点用能单位加强节能工作，强化节能管理，提高能源利用效率，根据《省人民政府关于印发贵州省“十二五”节能减排综合性工作方案的通知》（黔府发〔2011〕38号）和《关于印发万家企业节能低碳行动实施方案的通知》（发改环资〔2011〕2873号）要求，省发展改革委、省教育厅、省财政厅、省住房和城乡建设厅、省交通运输厅、省商务厅、省国资委、省质监局、省统计局、贵州银监局、省能源局制定了《贵州省万家企业节能低碳行动实施方案》（见附件，以下简称《方案》），现印发给你们，请认真组织实施。附件：贵州省万家企业节能低碳行动实施方案.doc贵州省发展和改革委员会2012年8月8日
6,贵州省发展和改革委员会关于同意贵州省节能低碳产业基金筹备的批复,贵州省发展和改革委员会关于同意贵州省节能低碳产业基金筹备的批复贵州省发展和改革委员会关于同意贵州省节能低碳产业基金筹备的批复你公司报来《关于设立贵州省节能低碳产业基金（筹）的申请》收悉。根据《关于进一步促进贵州经济社会又好又快发展的若干意见》（国发〔2012〕2号）、《国务院关于西部大开发“十二五”规划的批复》（国函〔2012〕8号）、贵州省发展和改革委员会《关于印发<贵州省股权投资企业备案管理暂行办法>的通知》(黔发改财金﹝2012﹞767号）规定，经研究，现批复如下：同意开展贵州省节能低碳产业基金的筹备工作。请你公司组织有关发起人，抓紧制定贵州省节能低碳产业基金的组建方案，并报我委审批。贵州省发展和改革委员会2015年12月7日
7,贵州省发展和改革委员会关于征选碳排放第三方核查机构的通知,贵州省发展和改革委员会关于征选碳排放第三方核查机构的通知贵州省发展和改革委员会关于征选碳排放第三方核查机构的通知黔发改气候[2016]199号附件：1-4.doc
8,贵州省发展和改革委员会关于征集碳达峰碳中和相关专家的公告,贵州省发展和改革委员会关于征集碳达峰碳中和相关专家的公告贵州省发展和改革委员会关于征集碳达峰碳中和相关专家的公告各有关单位：推进碳达峰、碳中和工作是党中央、国务院作出的重大战略部署。贵州省委、省政府高度重视人才，大力实施人才强省战略，为充分发挥专家智库对我省碳达峰、碳中和工作的支撑作用，省发展改革委拟建立贵州省碳达峰碳中和专家库。现面向全国征集专家库成员（征集条件见附件1），有意向的专家请填写推荐表（附件2），并于2022年4月30日前将推荐表盖章扫描版和电子版反馈我委。附件：1.贵州省碳达峰碳中和专家库成员征集条件.docx2.贵州省碳达峰碳中和专家库成员推荐表.docx联系人：李冰0851－85868952／18885137842邮箱：50904465＠qq．com贵州省发展和改革委员会2022年3月30日
9,贵州省发展和改革委员会关于组织推荐贵州省万家企业节能低碳行动能源审计和节能规划编制单位的通知,贵州省发展和改革委员会关于组织推荐贵州省万家企业节能低碳行动能源审计和节能规划编制单位的通知贵州省发展和改革委员会关于组织推荐贵州省万家企业节能低碳行动能源审计和节能规划编制单位的通知各市（州）发展改革委：为贯彻落实《关于印发万家企业节能低碳行动实施方案的通知》（发改环资[2011]2873号）和《关于印发贵州省万家企业节能低碳行动实施方案的通知》（黔发改环资[2012]2557号）精神，推动我省万家企业节能低碳行动扎实开展，我委决定筛选出一批有能力开展能源审计和节能规划编制的节能服务机构，推荐给万家企业，帮助做好我省万家企业能源审计和节能规划编制工作。现将有关事项通知如下：一、推荐对象为拟在我省开展万家企业能源审计和节能规划编制工作的节能服务机构。请各市（州）发展改革委尽快组织辖区内节能服务机构申报，并于2012年12月10日前将节能服务机构名单及有关材料报送我委。二、节能服务机构申报需提供如下材料：1、申报材料真实性声明；2、申报机构基本情况表；3、单位基本情况；4、专业技术人员情况（基本情况表及证书复印件）；5、能源审计和节能规划编制业绩（需附表）；6、营业执照复印件；7、组织机构代码证复印件。三、此次推荐仅针对我省万家企业能源审计和节能规划编制工作。已通过国家发展改革委、省发展改革委或其他部门备案的节能服务机构也需重新申报。四、我委将组织对节能服务机构申报材料进行审查，对基本符合条件的机构进行培训，并公布推荐机构名单，提供给我省万家企业选择。培训的主要内容为宣贯万家企业节能低碳行动有关政策，学习《企业能源审计技术通则》（GB17166）及《企业能源审计报告撰写指南》等。五、我委将严格推荐资格管理，适时组织对节能服务机构工作情况进行抽查，指导节能服务机构开展相关工作。对于出现下列行为的，一经查实，将通报并取消推荐资格。1、申报资料造假的；2、不能履行与企业签订能源审计和节能规划编制合同的；3、在开展能源审计和节能规划编制工作中泄露企业生产经营秘密，损害企业利益的；4、在开展能源审计和节能规划编制工作中弄虚作假、走过场，不执行《企业能源审计技术通则》（GB17166）和我省组织编制的《企业能源审计报告撰写指南》的；5、报告质量低，内容和深度达不到要求，同一企业报告两次评审不合格的。六、联系方式单位：贵州省发展和改革委员会环资处联系地址：贵阳市延安中路110-2号联系人：杨屏万政勇联系电话：0851-52896535286203附件：一、申报材料真实性声明二、申报机构基本情况表三、专业技术人员基本情况表贵州省发展和改革委员会2012年11月28日附件一：申报材料真实性声明省发展改革委：我单位声明：此次申报贵州省万家企业节能低碳行动能源审计和节能规划编制服务推荐机构，所提交的申报材料均真实、合法。如有不实之处，愿负相应的法律责任，并承担由此产生的一切后果。特此声明！单位法定代表人（签字，加盖企业公章）：年月日附件二：申报机构基本情况表附件三专业技术人员基本情况表
